,reviewText,predSumary,actualSummary
8033,"I believe this is my favorite Shakira album since Dnde Estn los Ladrones? It is of course completely different stylistically, but great nonetheless. It is great to see her evolve with each album.",Perfect,Great Album
8034,"Great color selection, and a perfect companion for an adult coloring book. My wife loves it!",Great color selection,Great companion for adult coloring books!
8035,Purchased for my grandson. He said that they fit well.,Five Stars,Four Stars
8036,"I just received these Bullet Bags and I think they are great! Especially for the $38.00 that I paid for them. I just realized they are $5.00 cheaper now! I got rippedoff! No, not at all!

Seriously, these are great bags at a great, and now even greater price. If I would have waited a few days, I could have also gotten a personal pan pizza...arrrggghhh!

The material is thick  much thicker than I expected for the price. The stitching is well done. The padding is sufficient enough for my needs. The zippers are strong and should last anyone who uses patience and care when opening and closing the bags.

Yeah, these bags are not going to protect your drums when the van door swings open and they spill out on the road while you speed down the highway doing 80 MPH trying to make it to the gig on time, but they will protect them from getting scratched up while you move them around. The handles make it much easier and convenient to transport the drums around from gig to gig. They will definitely keep the dust off them and the mice and termites out of them.

You will definitely not find a better bag for this price.",Great bag for the first time,Great Drum Bags!
8037,"My husband loves the Cathedrals and up until recently we were unable to get more CD's. I only give it 4 stars because there are other artists on this CD, and because there is allot of repetition of songs that are on other CD's he already has. But if you like southern gospel music, you will like this.",I only give it 4 stars because there are other artists on this CD,Southern Gospel Music at it's finest
8038,"That was fast!! So Tamia who is a Georgia Girl by the way goes to college and instantly become friends with her roommate. When Kellen is introduced to Tamia, he is smitten with her. Trying to hold his feeling in because he has a girlfriend, Kellen can no longer fight his feelings for Tamia and gives into his desire. Now the only thing that pissed me off was that she was quick to runaway instead of listening. But other than that it was a nice quick and I do mean quick read.",Fast!!,Alrighty Then
8039,SENT BACK,Five Stars,Three Stars
8040,"OK, first, a caveat  though I am a Philly girl, my husband's family is from Bawlmuhr, so I have heard a lot about this author and have more than a passing knowledge of the local flavor. I think that probably added to my enjoyment of the book. Additionally, I could see where someone who does not know the Baltimore area might lose a bit of the book.

That being said, the story line of the thriller is quite a new one  for me. I am not a huge reader of the crime fiction genre, but sisters disappearing and one reappearing 30 years later? I wanted to know very early on how this panned out.

The twists and turns of this book did keep me hooked, and I really enjoyed the denouement. The plot did hold up to expectation.

There were some drawbacks to the book, though. I found the long backtracks into the side characters the parents, the detectives rather uninforming and, mostly, not interesting. I ended up skimming or skipping a bit here and there just to keep to the main plot. Some of those bits were rather large. And yet, I do not feel if I missed much. That is not really a good sign.

Over all, a very good premise and a mostly good read, with in my opinion a little too much filler.

Wink or smirk",This is a great read!,I want to know what the dead know...
8041,"excellent, birds love it,squirrels do not",Five Stars,Five Stars
8042,"Oh, Boy, where to begin? So many problems. This is an unusable, bloated 4GB piece of shoftware. I am using this program on a Windows 10 64bit machine with Intel core i3 and 16 GB RAM. The program kept crashing. Each time I get the message: ""Attention! The current project was saved automatically. However, internal memory structures may be damaged that do not enable correct saving. It is recommended that the movies are saved with new names for further editing. Continue program Close program."" Although I am given the options to ""continue program"" or ""close program"" the program does not respond to clicks on either option. Rightclicking the Windows taskbar to ""Close window"" does not do any good either. The only thing that works is the ""End task"" function in Task Manager. The user interface is unintuitive. Examples: 1 the draganddrop to add media is limited to a tiny column in the timeline interface. I found this out only by trial and error. 2 Draganddrop of effects like transition results in the effect being applied to the beginning of the clip, not where you drop the effect. 3 I have not found a way to apply the effects to just a part of the clip and not the entire clip. I was sure there is a way, which was why I consulted the help function, which brings me to the next point. The antiquated Help user interface looks like something from Windows NT. That is not my real beef however. What I have a problem with is the help information does not direct you to the navigational breadcrumb you can follow to perform the function you are seeking help on. For example, a search on how to rotate a movie results in information on how to set the angle of",Do not get to your start,It is recommended that the movies are saved with new names for ...
